id,title,description,price,size,age,floors,bedroom,city,location,district,house_type,pattern,tags,environment,url,image,CP_value
1,三井Outlet旁雙峰匯美2房含車位管理費,,38000,25.5,0.0,15,2,新北市,新北市林口區忠孝路/長耀PARK/長耀雙峰滙,,電梯大廈,2房1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=073a40293783216,12562c6423d47a76ef07120b7720bf12.jpeg,0.6407938327703476
2,近勤美BRT站50公尺合法樓中樓2房含車位裝潢,,22500,36.0,0.0,13,2,台中市,台中市西區梅川西路二段/中港奇摩市,,電梯大廈,2房2廳2衛 - 1室2陽台1廚房,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0837b8293637411,86edbdb85ad9567d1387ecf07e233dd4.jpeg,1.0602614341525005
3,林口A7A8A9龜山近市區體大大兩房車雙衛浴,,26800,37.32,0.7,1,2,桃園市,桃園市龜山區樂學一路/頤昌澄岳,,電梯大廈,2房2廳1.5衛 - 1陽台1廚房,,有對外窗;有中庭;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=063658293559215,9d4f693af757c550409fb6b58855d03e.jpeg,0.16109196072984225
4,四季水漾三房+車位,,25000,53.39,11.4,2,3,新北市,新北市淡水區中山北路三段/四季水漾,,電梯大廈,3房2廳2衛 - 2陽台1廚房,,有對外窗;有中庭;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=023271293470025,312927a1b2f9fbd5cfd5121b897fb44d.jpeg,0.16857712100031225
5,離捷運站永安接運站5分鐘門口有公車站,,100000,45.0,42.1,1,0,新北市,新北市永和區永貞路,,公寓,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0c33c6293351209,687082438fa249b285b43aaba2ddbbf8.jpeg,0.6246878364431379
6,府中板橋稀有共生共寓，第一手釋出，租補後$1萬,,12500,25.0,0.0,3,3,新北市,新北市板橋區大勇街,,公寓,3房1廳1衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0953c3293165311,9346a4c96fc37e1ac31168f180e813c8.jpeg,0.5414838003237062
7,成功二路｜超醒目約27米大面寬燙金店霸｜亞灣AI城,,120000,105.47,22.6,1,0,高雄市,高雄市前鎮區成功二路/獅甲國宅,,電梯大廈,,,有對外窗;為邊間,https://www.rakuya.com.tw/rent/rent_item?ehid=0319bb293240248,a68c47ae4a1f30d78e32a4e190464bc3.jpeg,0.4072557251602754
8,中和保健路1樓。大陽台。住家辦公近捷運,,28000,30.0,0.0,1,3,新北市,新北市中和區保健路,,公寓,3房2廳1衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0518c2292878842,b4fa0b86605ddef73c89739b207ba492.jpeg,0.0
9,崇德漢口商圈百萬全新裝潢二房傢俱全,,23000,15.97,42.4,3,2,台中市,台中市北區漢口路五段,,公寓,2房2廳2衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=080fe9292952269,8abeb3e2f97a03b91ff541872fb180c7.jpeg,2.013215687061784
10,自租安平黃金店面全新市政大道$永華路三角窗旁無西曬,,48000,44.13,0.6,1,0,台南市,台南市安平區健康二街/龍騰市政大道/第五大道,,電梯大廈,,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0dd25d29298018f,5c14687359f655b9ef660f68808eeafb.jpeg,0.2035032608808106
11,台中北區 櫻花道套房 近國軍醫院大潤發科博館,,6500,5.0,0.0,2,1,台中市,台中市北區太原路一段,,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092681292837978,38df90df099adb9b1277091cefe2ef25.jpeg,1.9244975843912409
12,美麗堡電梯華廈,,32000,58.0,25.1,13,4,新北市,新北市五股區西雲路/美麗堡,,電梯大廈,4房2廳2衛 - 2陽台2廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03f9f3291370103,43185c768492fdbb9ba2acfbf976e985.jpeg,0.1345022556661685
13,笛布斯專任~僑泰電梯視野二房台水電大陽台可開伙可寵,,13000,27.24,30.1,10,2,台中市,台中市南區南和一街/德昌中華,,電梯大廈,2房1廳1衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=009e89291929012,e9615e69eb8da16bfcba3bec7001e2e5.jpeg,0.6084791251290523
14,白金大智電梯套房（近三井Lalaport),,9999,6.0,0.1,6,1,台中市,台中市東區大智路/瀚程大智路192巷20號透天,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=055355234353615,f96303f72a66d637d76aaf8a9898bee3.jpeg,0.0
15,近成大暨醫院、二中、台南醫院、台南公園、轉運站,,5500,5.0,30.0,5,1,台南市,台南市北區公園北路,,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ca6fd292506107,9a972901f28acea2ce7c45bbdba817a3.jpeg,0.012828093686984792
16,"知名電梯華廈,頂級全新裝潢,近捷運亞東醫院站/科學",,23000,18.0,0.1,6,1,新北市,新北市板橋區貴興路/誠都,,電梯大廈,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ec92e292038432,,0.8776715579550249
17,❤️高詢問度❤️梧棲全新透天套房❤️含電梯,,8000,5.0,1.0,4,1,台中市,台中市梧棲區港埠路一段,,華廈,1房1衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=06cc60270953417,50f09673cdc1b89c7a2e42f0d644ffb5.jpeg,0.18478737720098395
18,安平3房電梯含車位,,23800,36.13,0.0,4,3,台南市,台南市安平區府平路/大隆新香港,,電梯大廈,3房1廳2衛 - 1陽台1廚房,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ba21729177054c,c40c724528e1de4f2b3f653b152b41b2.jpeg,0.26412959257229535
19,板橋電梯高樓可租補✨近商圈和室雅居✨全新裝潢車+管,,33000,12.0,0.5,24,1,新北市,新北市板橋區板城路/高妍植3水璟苑,,電梯大廈,1房1廳1衛 - 1室1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0d686c29149217d,1deb6aa1e9d3080b4351780b919b8284.jpeg,0.21938250908031226
20,★高雄湖內★稀有透天整棟出租(附貨梯),,20000,29.57,0.1,0,0,高雄市,高雄市湖內區民生街,,透天厝,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0140fb289696805,fa1a77fc8f9fc781c94ba036d860e2a1.jpeg,0.057881333117493855
21,板橋三民路透天店面 近板橋家樂福商圈,,60000,54.0,35.5,2,0,新北市,新北市板橋區三民路二段,,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e5306273540945,df0f5df18fa28ecaafc71c6bef8d962a.jpeg,0.0
22,近六合夜市商圈.美麗島捷運站.高雄火車站,,15000,15.0,50.1,1,0,高雄市,高雄市新興區民主橫路,,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b775229165354b,fe28f17e1b54755b1c795abacafdd56d.jpeg,0.8121039836716933
23,獨立套房,,10000,9.0,2.0,2,0,雲林縣,雲林縣斗六市榴屯二十街/雲龍太棧2,,公寓,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=02372129196193c,114073f4c75e752cd4a17469c7d0c63c.jpeg,0.007953264640970858
24,百達君品簡約渡假兩房,,24000,24.0,3.0,15,2,高雄市,高雄市前鎮區籬仔內路/百達君品,,電梯大廈,2房2廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=04789e218056217,1bc8a82198fa36c6261b159c8fbac833.jpeg,0.21795725244496986
25,蔡Sir力推關連大路超挑高美三照低租金廠,,58000,80.0,0.1,0,0,台中市,台中市梧棲區港埠路一段,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0137db291329583,c7b9743e661c1c79c6c248937e68a49a.jpeg,0.1487113090807507
