size,age,bedroom,CP_value,city,house_type,living,bath,balcony,kitchen,environment_score,price
25.0,0.0,2,0.5799929244886393,1,9,1,1,1,1,3,20500
14.0,0.1,1,0.3390327909003527,1,8,1,1,1,0,2,12500
15.0,6.0,1,0.1756234525610044,1,9,1,1,0,0,1,8800
15.0,0.1,0,0.5725184664849494,1,8,0,0,0,0,2,17500
12.0,0.1,1,0.1643120222408869,1,8,1,1,1,0,0,11500
12.0,0.0,1,0.0,1,8,0,1,0,0,0,7499
16.0,0.0,1,0.8321723835702765,1,9,1,1,1,1,2,9499
11.3,0.0,1,0.5659136846092567,1,8,0,1,0,0,1,7499
15.0,0.0,1,1.3006130619763645,1,9,1,1,0,0,1,15500
17.0,0.0,1,1.1704633781948477,1,8,0,1,1,0,1,14500
14.0,0.1,1,1.8948653007113068,1,9,0,1,1,0,2,10000
190.0,0.0,0,0.0322557565361008,7,4,0,0,0,0,0,70000
9.0,0.0,1,1.1109854127381895,1,8,0,1,1,0,2,13800
7.0,0.0,0,0.0,1,8,0,0,0,0,0,4999
12.5,0.0,1,0.9438041440476508,1,9,1,1,1,0,2,10999
42.0,0.0,2,0.0,1,9,2,1,1,1,0,27999
12.0,0.0,0,0.0,1,8,0,0,0,0,2,8999
13.0,0.0,1,2.3387661165737232,1,6,0,1,0,0,1,10499
10.0,20.0,1,0.8804117953823964,2,0,0,1,0,0,0,15000
15.0,0.1,1,0.9257450299418344,1,8,0,1,1,0,2,12999
25.0,0.1,3,0.1111051863678335,1,9,2,2,1,1,2,31500
33.0,0.0,2,0.8161479228433219,1,8,1,1,1,0,0,22999
350.0,0.0,0,0.1795574231369705,1,4,0,0,0,0,0,240000
28.0,0.1,2,0.7120361911722247,1,9,1,1,1,0,2,19999
171.77,22.2,0,0.0,15,8,0,0,0,0,3,420000
14.0,0.0,0,0.0649011606354228,1,9,0,0,0,0,1,12499
10.0,0.0,1,0.258707822483855,1,9,0,1,1,0,1,8999
7.0,0.0,1,0.2255657862615391,1,9,0,1,0,0,1,5499
10.0,0.0,1,0.3200181062769881,1,9,0,1,1,0,2,7299
7.0,0.0,1,1.1873500242018304,8,0,0,1,0,0,1,12000
13.0,4.1,1,0.9895191724379664,1,8,0,1,1,0,2,9000
10.0,0.1,1,0.6873405446114371,1,0,0,1,0,0,1,4799
10.5,0.0,1,0.2121585807812723,1,2,0,1,1,0,1,6599
13.0,0.0,1,0.8684789448819072,1,8,0,1,0,0,0,6999
6.0,0.0,1,0.1624891867018073,1,9,0,1,0,0,0,5500
13.3,0.0,1,0.6132421306686764,1,9,0,1,1,0,2,11499
11499.0,0.0,0,1.5189234911139624,1,8,0,0,0,0,2,11499
14.0,0.0,1,0.1228107172880556,1,9,1,1,1,0,2,8999
12.0,0.0,1,0.0,1,9,1,1,1,0,2,10999
12.0,0.0,1,0.0119300374055429,1,8,0,1,0,0,0,9999
15.3,0.0,1,0.6325924371269201,1,9,1,1,1,0,2,12999
13.0,0.0,1,1.7440430825685276,1,8,0,1,1,0,0,7499
21.0,0.1,1,0.4529468932231055,1,9,1,1,1,0,0,19999
10.0,0.0,1,0.5456367707775481,1,8,0,1,1,0,2,10999
17.0,0.0,1,0.8341348446871737,1,8,1,1,1,0,2,12999
15.0,0.0,0,0.1958514474076637,1,8,0,0,0,0,1,9999
10.2,0.0,1,0.4057291557783654,1,8,0,1,1,0,1,4999
12.0,0.1,1,0.9832223412400224,1,9,1,1,1,0,2,10000
8.0,8.0,1,0.0734695688544143,1,9,0,1,0,0,1,4499
1000.0,0.0,1,0.5118354513316176,1,9,0,1,1,0,0,8499
12.0,0.1,1,0.8425418244258717,1,8,0,1,1,0,2,10999
20.0,0.1,2,0.701606196919965,1,9,2,1,1,1,0,24000
10.0,0.0,0,1.722359477045517,1,0,0,0,0,0,2,11499
14.0,20.1,1,0.4320105357493113,8,0,1,1,0,0,0,13000
16.0,0.1,1,0.0,1,9,0,1,1,0,2,13999
8.0,20.6,1,0.0,8,0,0,1,0,0,0,13000
12.0,0.0,1,1.028549990608146,1,8,0,1,1,0,2,7399
8.0,0.1,1,0.1818849761767372,1,8,0,1,0,0,0,6000
18.0,0.0,2,0.0,1,8,1,1,0,1,1,17000
12.0,0.1,0,0.8228501741824853,1,8,0,0,0,0,2,13500
20.0,0.1,0,0.9215893608361152,1,8,0,0,0,0,2,15499
6.0,0.0,0,0.759000463904605,1,8,0,0,0,0,2,9000
10.0,0.1,1,1.3190546164428272,1,8,0,1,0,0,1,7999
37.0,0.0,3,0.355499408303311,11,0,2,2,1,1,1,22000
14.0,0.1,1,0.0395278863404615,1,0,0,1,1,0,1,8499
25.0,0.0,3,0.0055125079159517,1,0,2,2,1,1,2,20000
25.0,20.1,2,1.100227872964368,2,9,1,1,0,1,0,28000
13.0,0.0,1,1.3139486822654924,1,9,0,1,0,0,0,7499
35.0,0.0,0,0.1009870994508357,1,8,0,0,0,0,0,28000
12.0,0.1,1,2.190151829216279,1,8,0,1,0,0,0,12500
11.0,0.0,1,0.3815128633963707,1,8,0,1,1,0,0,11999
10.23,2.5,1,0.4054835701310967,1,8,0,1,1,0,1,6199
20.0,20.0,2,0.8043280720068089,2,0,2,1,0,0,0,25000
13.0,0.0,1,1.7565914939089995,1,9,0,1,1,0,2,11499
30.0,0.0,2,0.0,1,9,1,1,1,1,2,28999
10.0,0.0,0,0.0,1,9,0,0,0,0,2,7349
10.0,0.0,0,0.0,1,9,0,0,0,0,2,10000
10.0,1.3,1,0.3060201479964666,1,9,0,1,1,0,1,8999
10.0,20.2,2,0.0,8,0,1,1,0,0,0,14500
15.0,0.1,1,0.8107801709231184,1,0,1,1,1,0,2,12499
20.0,0.2,0,0.3012145160970994,1,8,0,0,0,0,2,18999
11.0,0.1,1,1.0804288933059492,1,9,0,1,1,0,0,8499
14.0,0.0,1,1.6703367091009986,1,8,0,1,0,0,1,10999
18.0,20.0,0,0.0,2,0,0,0,0,0,0,90000
18.5,0.0,1,0.8299684456801522,1,9,1,1,1,1,2,13999
12.0,0.0,1,0.0304766857513819,1,8,1,1,1,0,0,11000
45.6,0.0,3,0.3884787681797723,1,9,2,2,1,1,2,35000
40.0,0.0,2,0.0,1,8,1,1,1,1,2,23500
35.47,16.3,2,0.1751925613869639,8,9,2,1,1,1,4,27000
14.0,0.0,1,0.041272454170576,1,9,0,1,1,0,0,8999
13.85,2.2,2,0.7781614302167519,1,9,1,1,1,1,3,24000
8.0,0.0,0,1.142706439426192,1,8,0,0,0,0,1,13000
9.28,31.1,1,0.2535102374152444,8,9,0,1,1,1,3,17000
15.3,0.0,1,0.8632651599946783,1,9,1,1,1,0,2,12599
9.0,0.0,1,0.5118354513316176,1,9,0,1,1,0,2,8499
35.0,0.0,2,0.999826446498748,1,9,1,1,1,1,0,22999
10.0,0.0,1,0.5592713874448603,1,0,1,1,0,0,1,6999
11.0,0.0,1,1.5857008051534198,1,9,0,1,1,0,2,9999
10.0,2.4,1,0.3523258282854057,1,9,0,1,1,0,2,8999
12.0,0.0,1,0.2919888702032884,1,8,0,1,0,0,1,7999
10.0,0.0,0,0.4721103681316442,1,0,0,0,0,0,0,9000
14.0,0.1,1,0.9438041440476508,1,8,0,1,0,0,1,10999
11.0,0.0,0,0.0,1,8,0,0,0,0,2,8999
13.0,0.1,1,0.508428534040782,1,8,0,1,0,0,2,6999
12.5,0.0,1,0.8540678821072618,1,8,0,1,1,0,2,7799
11.0,0.0,0,1.1242328835733062,1,8,0,0,0,0,2,9499
40.0,0.1,3,0.1138797165307158,1,9,2,2,1,0,2,24999
14.0,0.0,1,0.5593042889231916,1,9,0,1,1,0,2,12999
10.0,0.0,0,0.4141425126904215,1,9,0,0,0,0,1,6299
11.0,0.0,1,1.3394471862763104,1,0,0,1,0,0,1,4999
16.0,0.1,2,0.3797202234191904,1,8,1,1,0,0,1,12499
8.0,0.0,1,0.0,1,8,0,1,0,0,2,7499
10.0,0.1,1,0.3479594243283366,1,9,0,1,0,0,2,9999
13.0,0.0,1,0.3850797688396111,1,8,0,1,1,0,0,9499
16.0,0.0,0,1.123517193173017,1,8,0,0,0,0,2,13999
