,location,longitude,latitude,loc_clusters
0,New York,-74.0060152,40.7127281,2
1,Boston,-71.060511,42.3554334,2
2,Philadelphia,-75.1635262,39.9527237,2
3,Pittsburgh,-79.9900861,40.4416941,2
4,Buffalo,-78.8783922,42.8867166,2
5,Newark,-74.1723667,40.735657,2
6,Hartford,-72.6908547,41.764582,2
7,Providence,-71.4128343,41.8239891,2
8,Portland (ME),-70.2584907,43.6634708,2
9,Albany,-73.754968,42.6511674,2
10,Miami,-80.19362,25.7741728,1
11,Orlando,-81.3790304,28.5421109,1
12,Atlanta,-84.3898151,33.7544657,1
13,Charlotte,-80.8430827,35.2272086,1
14,Nashville,-86.7742984,36.1622767,4
15,New Orleans,-90.0730259,29.9559145,1
16,Tampa,-82.458444,27.9477595,1
17,Birmingham,-86.8024326,33.5206824,1
18,Richmond,-77.43428,37.5385087,2
19,Louisville,-85.759407,38.2542376,4
20,Chicago,-87.6244212,41.8755616,4
21,Cleveland,-81.6936772,41.4996574,4
22,Detroit,-83.0466403,42.3315509,4
23,Minneapolis,-93.2654692,44.9772995,4
24,St. Louis,-90.1910154,38.6280278,4
25,Indianapolis,-86.1583502,39.7683331,4
26,Milwaukee,-87.9090751,43.0386475,4
27,Columbus,-83.0007065,39.9622601,4
28,Kansas City,-94.5781416,39.100105,4
29,Omaha,-95.9383758,41.2587459,4
30,Dallas,-96.7968559,32.7762719,3
31,Houston,-95.3676974,29.7589382,3
32,Austin,-97.7436995,30.2711286,3
33,San Antonio,-98.4951405,29.4246002,3
34,El Paso,-106.4870404,31.7601164,3
35,Albuquerque,-106.650985,35.0841034,3
36,Oklahoma City,-97.5170536,35.4729886,3
37,Tulsa,-95.9927516,36.1563122,3
38,Phoenix,-112.074141,33.4484367,0
39,Tucson,-110.974847,32.2228765,0
40,Los Angeles,-118.242766,34.0536909,0
41,San Francisco,-122.4193286,37.7792588,0
42,San Diego,-117.162772,32.7174202,0
43,Seattle,-122.330062,47.6038321,0
44,Portland (OR),-122.6779538,45.5248246,0
45,Las Vegas,-115.1484131,36.1674263,0
46,Sacramento,-121.493895,38.5810606,0
47,Salt Lake City,-111.886797,40.7596198,0
48,Denver,-104.984862,39.7392364,3
49,Boise,-116.200886,43.6166163,0
