epoch,train_loss,train_acc,test_loss,test_acc,model
1,0.6922504561015973,0.514675,0.6908405513703069,0.5175,lstm
2,0.6869400754904214,0.529425,0.6918980599958685,0.5193,lstm
3,0.6523674117109646,0.6137,0.7630999767327611,0.4963,lstm
4,0.6616364237599479,0.581475,0.6189587727377687,0.6957,lstm
5,0.598082129376384,0.684525,0.5825622877742671,0.7359,lstm
6,0.5074501360376803,0.7799,0.9973872726476645,0.548,lstm
7,0.4694321210296771,0.777375,0.4068407480475269,0.831,lstm
8,0.3004197466868562,0.877275,0.3498467740756047,0.8499,lstm
9,0.2328001051284254,0.910025,0.3343423314486878,0.8647,lstm
10,0.1915686501862523,0.930775,0.3449413806577272,0.8634,lstm
11,0.15312021610121757,0.94825,0.3945921433122852,0.868,lstm
12,0.11886450836357598,0.9626,0.38958900657635703,0.87,lstm
13,0.08931001316244229,0.97525,0.43227691080751296,0.8652,lstm
14,0.0705923585774609,0.982175,0.4730191602359844,0.8685,lstm
15,0.06100839497551274,0.98505,0.5005900488246845,0.8641,lstm
16,0.05032908934177444,0.9883,0.5021841531690163,0.8668,lstm
17,0.04388132684539777,0.9901,0.5184496180920661,0.8634,lstm
18,0.03869377551139139,0.991875,0.5861863501464264,0.8619,lstm
19,0.035021409856530426,0.9926,0.5669540838350223,0.8635,lstm
20,0.0290646383117813,0.99455,0.631254374603682,0.8655,lstm
