epoch,train_loss,train_acc,test_loss,test_acc,model
1,0.6031358705732388,0.675725,0.43155128178717217,0.81,textcnn
2,0.4475989927308628,0.788225,0.35605308413505554,0.8492,textcnn
3,0.38503495258645126,0.827575,0.31936091957967494,0.8655,textcnn
4,0.32649762885639083,0.857775,0.2996606404268289,0.8726,textcnn
5,0.2789497583057172,0.881975,0.2914238408019271,0.8767,textcnn
6,0.2391279126508548,0.90145,0.2945406634973574,0.8787,textcnn
7,0.2033907141976844,0.917875,0.29788513198683536,0.88,textcnn
8,0.17081584600499644,0.933575,0.31209447074540053,0.8791,textcnn
9,0.14089533164145085,0.9455,0.3372699250526066,0.8779,textcnn
10,0.11434336657674549,0.956,0.365019229959838,0.8774,textcnn
11,0.09547801735325934,0.96405,0.38740772895420655,0.8769,textcnn
12,0.07672273396207882,0.971125,0.4218925371577468,0.8722,textcnn
13,0.06911679600981382,0.9753,0.46632823197147516,0.8743,textcnn
14,0.05821020448038849,0.978525,0.48973906351418434,0.8717,textcnn
15,0.049854367266233546,0.981925,0.5145555308348015,0.874,textcnn
16,0.04395775550518173,0.984675,0.5514236645230765,0.8726,textcnn
17,0.03956521534697174,0.98585,0.5852981507778168,0.8719,textcnn
18,0.03812801022046861,0.9864,0.6160536312227007,0.871,textcnn
19,0.036820695955699055,0.986675,0.6331018253783637,0.8701,textcnn
20,0.03236394639635762,0.9888,0.6629093129046356,0.8696,textcnn
