epoch,train_loss,train_acc,test_loss,test_acc,model
1,2.3063448706611256,0.46801390140301197,1.5892343968153,0.6545213646902948,textcnn
2,1.5166697130828608,0.6433260393873085,1.2247862567504246,0.7525670751904604,textcnn
3,1.1831823665587629,0.7214570729823658,1.0347788942356904,0.7873468035773435,textcnn
4,0.9495054219589859,0.7692109666623761,0.9092166845997175,0.8032461079827757,textcnn
5,0.8213932133111798,0.796370189213541,0.8409820025165876,0.8125207022192779,textcnn
6,0.7078953634520047,0.8214699446518213,0.7911606406172117,0.8224577674726731,textcnn
7,0.6339362107339452,0.8375595314712319,0.7285380673905214,0.8403444849287843,textcnn
8,0.5566171041277589,0.8492727506757627,0.7002801485359669,0.8443193110301425,textcnn
9,0.5030378015314947,0.8661346376625049,0.683718902990222,0.8449817820470354,textcnn
10,0.4437503252850204,0.8826103745655811,0.6510493842264017,0.8529314342497516,textcnn
11,0.3925475502600435,0.8931651435191145,0.6437748949974775,0.8565750248426631,textcnn
12,0.34312266209086434,0.9087398635603038,0.622174592067798,0.8595561444186817,textcnn
13,0.31377983239830515,0.9098983138113014,0.6119258229931196,0.8631997350115932,textcnn
14,0.2697640181076331,0.9243145836014931,0.6058323830366135,0.8678370321298443,textcnn
15,0.24651634253439356,0.9308791350238126,0.5963312610983849,0.8651871480622723,textcnn
16,0.21260462102831387,0.9429785043120092,0.5962973876545826,0.8638622060284863,textcnn
17,0.19238742599721814,0.9495430557343287,0.5949893953899542,0.8678370321298443,textcnn
18,0.17018109279089286,0.9537907066546532,0.5861288886517286,0.8681682676382908,textcnn
19,0.14637437316237903,0.9598403912987514,0.5790197681635618,0.8698244451805234,textcnn
20,0.1346145052401746,0.9661475093319604,0.596167209247748,0.8658496190791652,textcnn
