Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
0.079167,0.075,0.069792,0.071354,0.081771,0.085417,0.086458,0.097917
0.076563,0.079167,0.075,0.069792,0.071354,0.081771,0.085417,0.086458
0.07526,0.076563,0.079167,0.075,0.069792,0.071354,0.081771,0.085417
0.075,0.07526,0.076563,0.079167,0.075,0.069792,0.071354,0.081771
0.075521,0.075,0.07526,0.076563,0.079167,0.075,0.069792,0.071354
0.073958,0.075521,0.075,0.07526,0.076563,0.079167,0.075,0.069792
0.070833,0.073958,0.075521,0.075,0.07526,0.076563,0.079167,0.075
0.077083,0.070833,0.073958,0.075521,0.075,0.07526,0.076563,0.079167
0.082813,0.077083,0.070833,0.073958,0.075521,0.075,0.07526,0.076563
0.084375,0.082813,0.077083,0.070833,0.073958,0.075521,0.075,0.07526
0.079167,0.084375,0.082813,0.077083,0.070833,0.073958,0.075521,0.075
0.077083,0.079167,0.084375,0.082813,0.077083,0.070833,0.073958,0.075521
0.080208,0.077083,0.079167,0.084375,0.082813,0.077083,0.070833,0.073958
0.079167,0.080208,0.077083,0.079167,0.084375,0.082813,0.077083,0.070833
0.078646,0.079167,0.080208,0.077083,0.079167,0.084375,0.082813,0.077083
0.07526,0.078646,0.079167,0.080208,0.077083,0.079167,0.084375,0.082813
0.075521,0.07526,0.078646,0.079167,0.080208,0.077083,0.079167,0.084375
0.075521,0.075521,0.07526,0.078646,0.079167,0.080208,0.077083,0.079167
0.076302,0.075521,0.075521,0.07526,0.078646,0.079167,0.080208,0.077083
0.075,0.076302,0.075521,0.075521,0.07526,0.078646,0.079167,0.080208
0.075521,0.075,0.076302,0.075521,0.075521,0.07526,0.078646,0.079167
0.075521,0.075521,0.075,0.076302,0.075521,0.075521,0.07526,0.078646
0.075521,0.075521,0.075521,0.075,0.076302,0.075521,0.075521,0.07526
0.074479,0.075521,0.075521,0.075521,0.075,0.076302,0.075521,0.075521
0.077083,0.074479,0.075521,0.075521,0.075521,0.075,0.076302,0.075521
0.075781,0.077083,0.074479,0.075521,0.075521,0.075521,0.075,0.076302
0.079427,0.075781,0.077083,0.074479,0.075521,0.075521,0.075521,0.075
0.095573,0.079427,0.075781,0.077083,0.074479,0.075521,0.075521,0.075521
0.1,0.095573,0.079427,0.075781,0.077083,0.074479,0.075521,0.075521
0.115104,0.1,0.095573,0.079427,0.075781,0.077083,0.074479,0.075521
0.116146,0.115104,0.1,0.095573,0.079427,0.075781,0.077083,0.074479
0.128125,0.116146,0.115104,0.1,0.095573,0.079427,0.075781,0.077083
0.114583,0.128125,0.116146,0.115104,0.1,0.095573,0.079427,0.075781
0.106771,0.114583,0.128125,0.116146,0.115104,0.1,0.095573,0.079427
0.121875,0.106771,0.114583,0.128125,0.116146,0.115104,0.1,0.095573
0.116667,0.121875,0.106771,0.114583,0.128125,0.116146,0.115104,0.1
0.110938,0.116667,0.121875,0.106771,0.114583,0.128125,0.116146,0.115104
0.107813,0.110938,0.116667,0.121875,0.106771,0.114583,0.128125,0.116146
0.109115,0.107813,0.110938,0.116667,0.121875,0.106771,0.114583,0.128125
0.106771,0.109115,0.107813,0.110938,0.116667,0.121875,0.106771,0.114583
0.114583,0.106771,0.109115,0.107813,0.110938,0.116667,0.121875,0.106771
0.113021,0.114583,0.106771,0.109115,0.107813,0.110938,0.116667,0.121875
0.111458,0.113021,0.114583,0.106771,0.109115,0.107813,0.110938,0.116667
