epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,cnn_gru,0.16368201193520918,2.6907571591048876,0.12967142388813024,2.394361929449662,3.11638533680648,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,cnn_gru,0.1369705173767062,2.4972098547214685,0.1285721550409097,2.401861372970425,3.1031478933538295,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,cnn_gru,0.1290496280717672,2.420506335159806,0.12393098913387536,2.3366552529800697,3.0466247755358573,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,cnn_gru,0.11936551149024902,2.3332746634147594,0.12054634855731315,2.313285103671601,3.004734087959513,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,cnn_gru,0.11226472123949131,2.264093160259689,0.1298744704501727,2.430677360921863,3.1188242869085943,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,cnn_gru,0.10558720639442182,2.200027134472252,0.1265323249802862,2.3598086298022616,3.0784333662664434,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,cnn_gru,0.09935839436224997,2.1356595170458457,0.1287807885623455,2.395390317712578,3.1056646176614557,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,cnn_gru,0.09229671546615048,2.0607329249054267,0.13520941231801983,2.473004771030975,3.1822366745069135,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,cnn_gru,0.08564317803137511,1.9881736048136531,0.14906746409684993,2.60498989859135,3.3413382665795357,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,cnn_gru,0.07972943553791681,1.9176102979135248,0.15122012046142055,2.638692557429173,3.365377638061764,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
