epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,deep_fusion_gru,0.14599929040609455,2.5525597289757096,0.11657074442232992,2.280285759379023,2.9547707973845876,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,deep_fusion_gru,0.11568595778404649,2.3016111914867317,0.12246508457610843,2.3563859672024847,3.0285528573610474,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,deep_fusion_gru,0.09534792635147037,2.089507417201445,0.1289208559791138,2.4229658796321303,3.107353078679919,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,deep_fusion_gru,0.0767093557714297,1.8743589148602862,0.13970338740543597,2.541148574085294,3.2346886344418695,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,deep_fusion_gru,0.062139222764296634,1.687790806825257,0.15121789348455117,2.650215095861705,3.3653528438438816,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,deep_fusion_gru,0.05181620346750568,1.538950636164301,0.15917407301367034,2.7350200356263215,3.452750362241558,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,deep_fusion_gru,0.04411484030441563,1.4194379949718672,0.15627524099698464,2.694046705243742,3.421165640495136,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,deep_fusion_gru,0.03839978293022233,1.3220211948816363,0.1681076998299454,2.7943879986016396,3.5483203088838913,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,deep_fusion_gru,0.03424379702775913,1.246287932128162,0.16552145612987615,2.7723973978649745,3.5209200614521663,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,deep_fusion_gru,0.030772915291839183,1.1812322414815544,0.1691715516419677,2.8059959474424203,3.5595301799687804,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
