epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,gru,0.15104686885186885,2.608265931988198,0.13534963282314455,2.4648736927021275,3.183886317547487,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,gru,0.1311440615472839,2.4391461971958157,0.12768720619837168,2.4077760010537466,3.092450125144635,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,gru,0.12406538824815218,2.371294941584514,0.12282092156418124,2.3588643620263414,3.0329495743734958,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,gru,0.1168144829273626,2.3072673444977863,0.12048291541629412,2.34020047930634,3.0039434092392336,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,gru,0.11002905500601984,2.2443127936499034,0.12461786397409984,2.39005891889535,3.055055942472762,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,gru,0.1041194179205819,2.1841725113058676,0.1228859586390668,2.373703544856807,3.0337524820866757,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,gru,0.09740521051959149,2.1131781339974354,0.12492951613213514,2.403216708668124,3.0588736783796806,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,gru,0.09013474861867174,2.034756110817174,0.12977463137581974,2.452560368099851,3.1176252702109952,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,gru,0.08232908627780325,1.9454205851187871,0.13401089664205093,2.48490075413595,3.1681013771623445,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,gru,0.07487998332309356,1.8538074879854227,0.13961239052799862,2.536536222174225,3.23363498901532,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
