epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,gru_transformer,0.14073864357088098,2.5097098168137584,0.1268376155732037,2.435858913431734,3.082144880237481,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,gru_transformer,0.08830043911513244,2.022303587284338,0.15779697917129268,2.7224845549460173,3.437782175375603,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,gru_transformer,0.06399495821194136,1.7221063481738368,0.19209244024073488,2.988069110744846,3.793011416353161,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,gru_transformer,0.04825895122765941,1.4936288030204226,0.19011631669376053,2.99648167106219,3.7734509708541344,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,gru_transformer,0.03758421844797825,1.3158692392515876,0.221242758233427,3.2327036184860805,4.07064796615311,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,gru_transformer,0.030030382969259983,1.1738208934037906,0.2303220984495513,3.3084421496655136,4.153333613225883,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,gru_transformer,0.024607982416034624,1.0614444987680103,0.2416617096982197,3.373284404368991,4.254347231400328,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,gru_transformer,0.020455686836919434,0.96747301112543,0.24229606565296294,3.3986885231176256,4.259927367796895,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,gru_transformer,0.017466523793941785,0.8934713410869645,0.2488445822266933,3.454908286278501,4.317109935258988,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,gru_transformer,0.015143596124249826,0.8324000314858623,0.24290999827549123,3.3910264920859547,4.2653208794293676,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
