epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,nbeats,0.09431810503017418,2.032379505333532,0.16587711402002472,2.7492012061607647,3.5247007242190405,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,nbeats,0.030971393216131245,1.1796574408935872,0.16185218380667107,2.72987636158306,3.4816755363268883,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,nbeats,0.0183263971465629,0.9128854379443357,0.16228705102653404,2.739645932620741,3.4863496992617202,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,nbeats,0.0138551237852099,0.7943380143026473,0.15965480938076848,2.697513542913457,3.4579604182216683,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,nbeats,0.011451521949176618,0.7209880417643633,0.1549260712208205,2.6694773742980877,3.4063656744657798,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,nbeats,0.009784203677370734,0.6670821924455973,0.1557128368356782,2.6829716680909512,3.415004028725407,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,nbeats,0.008729920594300573,0.6290504123211129,0.15639221250222657,2.6812400724121526,3.4224457552948966,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,nbeats,0.007799963878914168,0.595145091542435,0.15326078672127616,2.6525024449923986,3.3880088709678695,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,nbeats,0.00717834091049407,0.5703052345873268,0.15138254086749098,2.6351748020930943,3.3671844736435332,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,nbeats,0.006590596875487701,0.5459511521686051,0.1540797055508027,2.6458827185734903,3.397048387748714,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
