epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,stacked_gru_lstm,0.16062289310858913,2.660812428537416,0.13033350168649274,2.4202885859958805,3.124331054462857,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,stacked_gru_lstm,0.12878342329480852,2.4182728688672968,0.12573913805191547,2.3778412249516587,3.0687693820866357,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,stacked_gru_lstm,0.1160948256550602,2.301008654958413,0.13278735921715537,2.4524830409068623,3.153605611710146,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,stacked_gru_lstm,0.10227376326697918,2.1583512587216886,0.139325884441154,2.5064767474950234,3.230315317466,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,stacked_gru_lstm,0.08809599128686069,1.9956881241284055,0.1415979366670239,2.521179969603557,3.256547943910716,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,stacked_gru_lstm,0.07511005792337004,1.8311511558641806,0.15190384003742688,2.618408920718788,3.372977080109247,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,stacked_gru_lstm,0.06381067113389614,1.6806635784904893,0.15559231671490342,2.6667933925402845,3.4136822005913707,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,stacked_gru_lstm,0.05382996353829453,1.5408732422345572,0.1699123578696525,2.7906488765042923,3.5673152989224546,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,stacked_gru_lstm,0.0450629121115201,1.4112730173006232,0.17039852915246168,2.8037224288306573,3.5724152658602173,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,stacked_gru_lstm,0.03790780303845202,1.2974652063334005,0.17564694795021824,2.850360435199494,3.6270147099524026,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
