epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,cnn_gru_lstm,0.1654976661575267,2.6975795179560302,0.13136633870066478,2.430677899663318,3.136686119821565,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,cnn_gru_lstm,0.1351967809440382,2.4786869400116274,0.13324152404643178,2.4613318866878005,3.158994044363055,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,cnn_gru_lstm,0.1251176777939382,2.3787527896134164,0.12939926225632747,2.4030744499775776,3.113113205438789,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,cnn_gru_lstm,0.11263628474505416,2.264173239036689,0.1262416283434416,2.392410755441905,3.0748951174634054,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,cnn_gru_lstm,0.10156315448129545,2.1558752887380686,0.12872401572742054,2.4144730632214295,3.10497997169754,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,cnn_gru_lstm,0.08956527899872423,2.027669893743341,0.1456370121806498,2.5694711555979195,3.3026678129937346,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,cnn_gru_lstm,0.07718340868159385,1.8825973359321888,0.14728405176565712,2.601928372892938,3.321290598181402,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,cnn_gru_lstm,0.06584942140557508,1.7334465523757343,0.1594431863945764,2.6941288834763184,3.455667888572798,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,cnn_gru_lstm,0.055454994424060246,1.5901008311797984,0.16204264283963143,2.7153537117935156,3.4837234528759753,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,cnn_gru_lstm,0.046845859665420826,1.4584173875679318,0.16079683719878718,2.697769908664284,3.4703059480403597,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
