epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,convlstm,0.15022326499473176,2.5876728233714736,0.13557071831997394,2.4639767453396932,3.186485620298666,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,convlstm,0.12287240611073046,2.3609359728318573,0.12631910784214787,2.40643360097618,3.0758385659148213,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,convlstm,0.10098729879964158,2.1472934811652364,0.14348903315444053,2.5675054190964417,3.2782220702310036,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,convlstm,0.08109938597166677,1.9216178887206896,0.1519291287597881,2.66800198758989,3.373257836892173,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,convlstm,0.06326769436785241,1.6933148526231905,0.17137859196063857,2.851421757139862,3.5826740602435474,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,convlstm,0.050380846178108125,1.5066514613597757,0.17187244304326066,2.8357733492377846,3.5878323240021546,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,convlstm,0.04094213738313806,1.3574798250017552,0.18612266867661004,2.9488792407601125,3.7336074191183015,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,convlstm,0.034444514022820893,1.2439508819000442,0.18309407457892418,2.937273469002768,3.7031061298162466,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,convlstm,0.02957448900819992,1.1523196287826185,0.18565480248676233,2.940882152409831,3.728911765814657,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,convlstm,0.025571206173176597,1.0717101692420308,0.19282701429267537,2.99125470780845,3.800256852887011,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
