epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,itransformer,0.13835498001573493,2.5221247290698736,0.15068038513472007,2.6568023522539415,3.359366413783305,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,itransformer,0.08161554420242727,1.9493522564245471,0.17625317482389702,2.8993700681027743,3.633268459618104,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,itransformer,0.047537538212570875,1.4881982759384622,0.1887044875633308,3.0134384063526287,3.7594137743664438,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,itransformer,0.030787922964535162,1.1975583777535104,0.19815825726093392,3.0798668304011567,3.8524330602237495,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,itransformer,0.0228028891923388,1.0296934685096963,0.19130368145119486,3.013386680255517,3.7852160855199295,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,itransformer,0.01832254266154417,0.9219777084374967,0.1882891703938083,2.9920519484994874,3.7552744620593317,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,itransformer,0.01546666753994264,0.8470030661300956,0.18734396773343961,2.9691072688669657,3.7458369557182434,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,itransformer,0.013573755804577392,0.7931469783535834,0.18217398484865313,2.926910847202891,3.6937899281669617,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,itransformer,0.012060418760150796,0.7466605663158226,0.1862565905075898,2.9690195727896147,3.734950398968703,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,itransformer,0.010949279907236105,0.7106075993410991,0.1809961842127911,2.925196289370508,3.6818299192802355,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
