epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,luong_gru,0.14808122008317223,2.5763112315038406,0.12421436737095322,2.3615935962914834,3.0501059809099815,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,luong_gru,0.12449207238291216,2.3837614526179127,0.1183215760352153,2.296642557500823,2.976877658183142,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,luong_gru,0.11631134112933508,2.306009894118413,0.1169572746998164,2.2808549804570997,2.9596655286572418,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,luong_gru,0.10919924802597487,2.2335576528457004,0.11734826630340275,2.293508153527073,2.9646085222713072,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,luong_gru,0.10239060087082724,2.162191893514001,0.11964657715964204,2.3207156629217187,2.993499255495433,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,luong_gru,0.09564321580382994,2.090777870147629,0.123255912859117,2.3547436721749695,3.0383156770713784,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,luong_gru,0.08886935092968817,2.0184688118896914,0.12584543088518804,2.399971974740512,3.070066191838254,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,luong_gru,0.08150391249122288,1.9359600316109462,0.13285827160868935,2.4689424846125174,3.154447551565609,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,luong_gru,0.07420957572262839,1.8488680434225122,0.1423221510255657,2.5583841289674907,3.264865250563412,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,luong_gru,0.06751725749696989,1.7640861413160125,0.14199337562711595,2.566566907817111,3.2610920313098415,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
