epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,multiattn_gru,0.1416191371117704,2.5292848229656415,0.11960190065328292,2.3078263507069448,2.992940302665931,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,multiattn_gru,0.11484356664604985,2.2975502895311672,0.1214428433006649,2.3460138995419144,3.0158863828623823,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,multiattn_gru,0.09827720506774237,2.126258088967293,0.13159703889878635,2.436354776018234,3.139439171698005,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,multiattn_gru,0.08124857029725788,1.9330724386683942,0.1500957636545514,2.6143627761557204,3.35284309934632,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,multiattn_gru,0.06652051674595978,1.7515101912901156,0.1589492238683453,2.6805676910377816,3.450310826055793,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,multiattn_gru,0.05489634220688325,1.5904478989576178,0.1650876152673557,2.7271339104490777,3.5163027369937505,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,multiattn_gru,0.045974118887427175,1.4524429910516903,0.1759664638385307,2.8234492687383623,3.630312127827221,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,multiattn_gru,0.03915101299878418,1.3402225431378534,0.18365310039173482,2.8903377880924617,3.708755015745847,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,multiattn_gru,0.03385893676854233,1.2446015472686591,0.18652221359312002,2.914106396369764,3.7376126849658244,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,multiattn_gru,0.029893932891820414,1.167466877163291,0.19144014009442736,2.9564521606420557,3.7865658807752887,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
