epoch,model,train_mse_norm,train_mae_c,val_mse_norm,val_mae_c,val_rmse_c,lr,best_so_far,lookback,delay,step,batch_size,lr_config,target_mean,target_std
1,selfattn_gru,0.14754464364478748,2.5697401570251803,0.11987926326463667,2.3208232522025023,2.9964086790907976,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
2,selfattn_gru,0.12027166508244207,2.3464931551446226,0.1186115623796135,2.2990618568743164,2.980523331468138,0.0001,True,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
3,selfattn_gru,0.10978849968291965,2.242192455060686,0.12529297406828277,2.3650975082749524,3.0633200333148025,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
4,selfattn_gru,0.0988558608649704,2.1289636719931524,0.1296756296223925,2.4096779333279685,3.1164358905341105,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
5,selfattn_gru,0.08853032538739582,2.0149997073568446,0.13578425148700962,2.48264965732643,3.1889940871177034,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
6,selfattn_gru,0.07866363337978396,1.9031349745013175,0.14729560798912752,2.6047445723528693,3.321420879512558,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
7,selfattn_gru,0.06885452384127765,1.7844978978125472,0.1486688055261073,2.608360542467933,3.336867343051264,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
8,selfattn_gru,0.059906812071092844,1.6645348926195511,0.16239696220447009,2.720064559004125,3.487530105131991,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
9,selfattn_gru,0.052756148268037956,1.5614884447118722,0.17678483615101104,2.8454372186377013,3.638744160290161,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
10,selfattn_gru,0.04690949017391933,1.4707020973407972,0.18243525670111807,2.8995252773405693,3.6964377838702096,0.0001,False,720,144,3,128,0.0001,9.107596480798954,8.654241904226192
